household_id,income_bracket,household_size,has_children,is_glp1_user,glp1_start_month,discontinued
236,100-125K,2,True,False,,False
237,50-75K,2,False,True,4.0,True
238,<50K,2,True,False,,False
239,75-100K,2,True,False,,False
240,<50K,1,True,False,,False
241,125K+,5,False,False,,False
242,125K+,2,False,True,2.0,True
243,125K+,2,False,False,,False
244,50-75K,5,False,False,,False
245,<50K,1,False,False,,False
246,125K+,1,False,False,,False
247,50-75K,4,False,False,,False
248,125K+,1,True,True,1.0,True
249,125K+,4,True,False,,False
250,125K+,1,False,False,,False
251,50-75K,1,False,False,,False
252,50-75K,2,True,False,,False
253,125K+,1,False,False,,False
254,50-75K,3,False,True,11.0,False
255,<50K,3,False,False,,False
256,75-100K,4,False,False,,False
257,125K+,3,False,False,,False
258,100-125K,1,False,False,,False
259,75-100K,4,False,True,7.0,True
260,<50K,3,False,True,11.0,False
261,75-100K,3,True,False,,False
262,125K+,4,False,True,10.0,False
263,<50K,2,False,False,,False
264,75-100K,2,False,False,,False
265,125K+,3,True,False,,False
266,100-125K,2,True,False,,False
267,100-125K,1,True,False,,False
268,100-125K,2,False,False,,False
269,50-75K,1,False,False,,False
270,50-75K,1,False,False,,False
271,100-125K,1,True,False,,False
272,100-125K,2,False,False,,False
273,125K+,2,True,False,,False
274,125K+,3,False,True,4.0,True
275,75-100K,2,False,False,,False
276,75-100K,2,False,False,,False
277,100-125K,2,False,False,,False
278,75-100K,3,False,False,,False
279,100-125K,2,True,False,,False
280,100-125K,5,True,False,,False
281,125K+,5,True,False,,False
282,50-75K,4,False,False,,False
283,50-75K,4,False,False,,False
284,<50K,2,False,False,,False
285,75-100K,2,False,False,,False
286,<50K,3,True,False,,False
287,50-75K,3,False,False,,False
288,75-100K,4,False,False,,False
289,50-75K,3,False,False,,False
290,75-100K,5,False,False,,False
291,<50K,2,False,False,,False
292,<50K,4,False,False,,False
293,125K+,3,True,True,2.0,True
294,50-75K,3,False,False,,False
295,<50K,2,False,False,,False
296,75-100K,3,False,False,,False
297,100-125K,4,False,False,,False
298,<50K,1,False,False,,False
299,75-100K,2,False,False,,False
300,<50K,2,False,False,,False
301,<50K,5,False,False,,False
302,75-100K,2,True,False,,False
303,75-100K,1,True,False,,False
304,75-100K,2,False,False,,False
305,100-125K,3,False,False,,False
306,125K+,1,False,False,,False
307,75-100K,2,False,False,,False
308,50-75K,5,False,False,,False
309,100-125K,4,False,False,,False
310,50-75K,1,True,True,5.0,True
311,50-75K,5,False,False,,False
312,<50K,3,False,True,7.0,False
313,<50K,1,True,True,2.0,False
314,125K+,1,False,False,,False
315,125K+,1,True,False,,False
316,100-125K,4,False,False,,False
317,50-75K,1,True,False,,False
318,<50K,1,False,False,,False
319,<50K,3,False,False,,False
320,50-75K,2,False,False,,False
321,75-100K,3,False,False,,False
322,100-125K,3,False,False,,False
323,75-100K,1,False,True,7.0,False
324,50-75K,4,True,False,,False
325,125K+,1,True,False,,False
326,100-125K,2,False,False,,False
327,75-100K,3,False,False,,False
328,75-100K,1,False,False,,False
329,50-75K,5,True,False,,False
330,50-75K,2,True,False,,False
331,50-75K,1,False,False,,False
332,100-125K,5,False,False,,False
333,<50K,2,True,False,,False
334,<50K,3,False,False,,False
335,<50K,2,False,False,,False
336,<50K,4,False,False,,False
337,125K+,1,True,True,3.0,False
338,100-125K,1,False,True,8.0,True
339,75-100K,2,False,False,,False
340,<50K,1,False,False,,False
341,75-100K,3,False,False,,False
342,75-100K,2,False,False,,False
343,<50K,1,False,False,,False
344,50-75K,1,False,False,,False
345,50-75K,3,False,False,,False
346,75-100K,4,True,True,7.0,False
347,75-100K,2,False,False,,False
348,<50K,2,False,False,,False
349,50-75K,1,False,False,,False
350,75-100K,2,False,False,,False
351,75-100K,1,True,False,,False
352,125K+,2,False,False,,False
353,75-100K,3,False,False,,False
354,<50K,4,False,False,,False
355,<50K,2,False,False,,False
356,75-100K,3,False,False,,False
357,<50K,2,False,True,1.0,False
358,75-100K,4,True,False,,False
359,125K+,2,False,False,,False
360,75-100K,2,True,False,,False
361,50-75K,4,False,False,,False
362,75-100K,1,True,False,,False
363,50-75K,1,True,False,,False
364,75-100K,1,True,False,,False
365,125K+,4,False,False,,False
366,50-75K,1,True,True,9.0,True
367,125K+,4,True,False,,False
368,125K+,2,False,False,,False
369,<50K,1,False,False,,False
370,<50K,2,False,False,,False
371,<50K,1,False,True,6.0,False
372,<50K,2,False,False,,False
373,<50K,3,False,False,,False
374,100-125K,2,False,True,12.0,False
375,<50K,1,False,False,,False
376,50-75K,3,False,False,,False
377,125K+,4,True,False,,False
378,<50K,3,False,False,,False
379,100-125K,4,False,False,,False
380,50-75K,1,True,False,,False
381,<50K,4,True,True,4.0,False
382,100-125K,2,True,False,,False
383,75-100K,1,False,False,,False
384,125K+,4,False,True,6.0,False
385,100-125K,5,False,False,,False
386,100-125K,3,True,False,,False
387,50-75K,1,True,False,,False
388,<50K,1,False,False,,False
389,100-125K,2,True,False,,False
390,100-125K,4,False,False,,False
391,125K+,1,False,False,,False
392,50-75K,4,False,False,,False
393,50-75K,2,False,False,,False
394,100-125K,4,False,False,,False
395,50-75K,4,False,True,2.0,False
396,125K+,2,False,False,,False
397,125K+,2,False,False,,False
398,50-75K,4,False,False,,False
399,100-125K,2,False,False,,False
400,100-125K,3,False,False,,False
401,<50K,2,False,True,2.0,False
402,125K+,1,False,False,,False
403,75-100K,4,True,False,,False
404,125K+,1,True,False,,False
405,50-75K,5,False,False,,False
406,125K+,1,True,False,,False
407,50-75K,3,True,False,,False
408,<50K,2,True,True,8.0,False
409,125K+,2,False,True,10.0,True
410,<50K,2,False,False,,False
411,50-75K,3,True,False,,False
412,125K+,2,True,False,,False
413,125K+,4,False,False,,False
414,75-100K,2,False,False,,False
415,75-100K,3,True,False,,False
416,50-75K,3,True,False,,False
417,50-75K,1,False,False,,False
418,50-75K,2,False,False,,False
419,100-125K,2,False,False,,False
420,100-125K,2,False,False,,False
421,100-125K,2,False,True,5.0,True
422,100-125K,3,True,False,,False
423,<50K,1,True,True,7.0,True
424,75-100K,3,False,False,,False
425,<50K,5,False,False,,False
426,75-100K,2,False,False,,False
427,50-75K,2,False,True,1.0,False
428,125K+,1,False,True,6.0,False
429,50-75K,4,False,True,11.0,False
430,<50K,2,True,False,,False
431,<50K,2,True,False,,False
432,100-125K,5,False,False,,False
433,75-100K,2,True,False,,False
434,<50K,3,True,False,,False
435,<50K,2,False,False,,False
436,100-125K,1,False,False,,False
437,<50K,4,True,True,11.0,False
438,125K+,1,False,False,,False
439,100-125K,3,True,False,,False
440,<50K,1,True,True,10.0,False
441,<50K,4,False,False,,False
442,125K+,1,False,False,,False
443,50-75K,2,True,False,,False
444,50-75K,2,False,False,,False
445,100-125K,2,True,False,,False
446,125K+,2,False,False,,False
447,125K+,2,False,True,7.0,True
448,100-125K,2,False,True,10.0,False
449,50-75K,2,True,False,,False
450,<50K,2,False,True,7.0,False
451,100-125K,2,False,True,10.0,False
452,75-100K,1,False,False,,False
453,50-75K,5,True,False,,False
454,125K+,2,False,False,,False
455,<50K,1,False,False,,False
456,75-100K,2,True,False,,False
457,<50K,4,False,False,,False
458,50-75K,1,False,False,,False
459,<50K,3,False,False,,False
460,<50K,2,False,False,,False
461,<50K,1,False,False,,False
462,75-100K,4,True,False,,False
463,100-125K,2,True,True,3.0,False
464,75-100K,2,False,True,12.0,False
465,125K+,4,False,False,,False
466,50-75K,3,False,False,,False
467,50-75K,4,True,False,,False
468,125K+,2,True,False,,False
469,50-75K,3,False,False,,False
470,125K+,4,False,False,,False
471,<50K,1,False,False,,False
472,125K+,3,False,False,,False
473,<50K,2,False,True,9.0,False
474,125K+,1,True,False,,False
475,75-100K,2,False,True,12.0,True
476,125K+,1,False,False,,False
477,<50K,3,False,False,,False
478,75-100K,2,False,False,,False
479,125K+,5,True,False,,False
480,75-100K,1,False,False,,False
481,75-100K,2,False,False,,False
482,100-125K,1,True,False,,False
483,50-75K,2,False,True,9.0,True
484,75-100K,3,False,False,,False
485,75-100K,3,False,True,5.0,False
486,125K+,4,False,False,,False
487,<50K,4,False,False,,False
488,50-75K,1,False,False,,False
489,125K+,2,True,False,,False
490,125K+,3,True,False,,False
491,50-75K,2,True,False,,False
492,75-100K,1,False,False,,False
493,50-75K,2,False,False,,False
494,<50K,2,False,False,,False
495,50-75K,2,False,False,,False
496,50-75K,4,False,False,,False
497,75-100K,2,False,False,,False
498,<50K,1,False,True,9.0,False
499,125K+,1,False,False,,False
500,125K+,4,False,False,,False
501,100-125K,5,False,False,,False
502,75-100K,3,False,False,,False
503,50-75K,2,True,False,,False
504,100-125K,5,False,False,,False
505,100-125K,3,False,False,,False
506,<50K,4,True,False,,False
507,125K+,3,True,False,,False
508,125K+,2,False,False,,False
509,125K+,2,False,False,,False
510,100-125K,1,False,False,,False
511,75-100K,2,True,False,,False
512,50-75K,3,False,False,,False
513,125K+,4,True,False,,False
514,125K+,3,True,False,,False
515,<50K,2,False,False,,False
516,<50K,1,False,False,,False
517,50-75K,1,False,False,,False
518,100-125K,2,False,False,,False
519,125K+,2,True,True,11.0,False
520,<50K,2,True,False,,False
521,75-100K,1,True,False,,False
522,50-75K,5,False,False,,False
523,125K+,2,False,True,7.0,True
524,125K+,4,False,False,,False
525,125K+,2,False,True,7.0,False
526,50-75K,1,False,False,,False
527,50-75K,4,False,True,9.0,False
528,50-75K,3,False,False,,False
529,<50K,2,False,False,,False
530,125K+,2,True,True,2.0,True
531,100-125K,1,False,True,10.0,True
532,125K+,3,False,False,,False
533,125K+,4,True,True,5.0,False
534,75-100K,1,False,False,,False
535,100-125K,1,False,False,,False
536,125K+,4,True,True,8.0,False
537,125K+,2,True,False,,False
538,50-75K,3,False,False,,False
539,50-75K,2,False,False,,False
540,<50K,2,True,False,,False
541,125K+,2,False,False,,False
542,75-100K,2,False,True,8.0,False
543,50-75K,1,False,False,,False
544,100-125K,3,False,False,,False
545,75-100K,3,False,True,3.0,True
546,50-75K,3,False,True,5.0,True
547,<50K,3,True,False,,False
548,100-125K,1,False,False,,False
549,75-100K,1,True,False,,False
550,100-125K,4,False,False,,False
551,75-100K,2,False,True,12.0,False
552,125K+,2,False,False,,False
553,75-100K,1,False,True,4.0,False
554,75-100K,1,False,False,,False
555,125K+,2,True,False,,False
556,50-75K,4,False,False,,False
557,<50K,4,False,False,,False
558,<50K,4,False,False,,False
559,100-125K,4,True,False,,False
560,75-100K,4,False,True,4.0,True
561,100-125K,2,False,False,,False
562,<50K,1,True,False,,False
563,<50K,4,False,False,,False
564,<50K,1,False,True,2.0,False
565,50-75K,1,False,False,,False
566,75-100K,1,False,False,,False
567,50-75K,2,False,False,,False
568,50-75K,2,True,True,6.0,True
569,125K+,1,False,False,,False
570,50-75K,2,False,True,12.0,False
571,75-100K,4,False,False,,False
572,100-125K,2,False,False,,False
573,50-75K,4,False,False,,False
574,75-100K,1,True,False,,False
575,125K+,1,False,True,1.0,False
576,125K+,2,False,False,,False
577,<50K,2,True,False,,False
578,125K+,3,True,True,8.0,False
579,75-100K,4,False,False,,False
580,50-75K,3,False,False,,False
581,50-75K,5,False,False,,False
582,125K+,2,False,False,,False
583,75-100K,1,False,False,,False
584,50-75K,2,False,True,12.0,False
585,75-100K,1,False,False,,False
586,50-75K,2,False,False,,False
587,<50K,1,False,False,,False
588,<50K,2,False,False,,False
589,<50K,1,False,False,,False
590,<50K,1,False,False,,False
591,<50K,3,True,False,,False
592,75-100K,2,True,False,,False
593,<50K,3,True,False,,False
594,50-75K,3,False,False,,False
595,125K+,1,False,False,,False
596,75-100K,2,False,False,,False
597,75-100K,1,False,False,,False
598,<50K,4,False,False,,False
599,<50K,3,False,False,,False
600,<50K,1,True,False,,False
601,<50K,2,False,False,,False
602,50-75K,5,False,True,10.0,True
603,<50K,2,False,False,,False
604,<50K,4,False,False,,False
605,<50K,1,True,False,,False
606,50-75K,1,False,True,9.0,False
607,<50K,3,False,False,,False
608,50-75K,3,False,True,11.0,True
609,75-100K,3,False,False,,False
610,100-125K,2,True,False,,False
611,<50K,2,False,True,5.0,False
612,100-125K,3,True,False,,False
613,75-100K,1,True,False,,False
614,<50K,2,False,False,,False
615,125K+,4,False,False,,False
616,125K+,2,False,False,,False
617,<50K,2,False,False,,False
618,50-75K,3,False,False,,False
619,100-125K,5,True,False,,False
620,100-125K,2,True,False,,False
621,<50K,2,False,False,,False
622,<50K,4,True,False,,False
623,50-75K,4,False,False,,False
624,75-100K,3,True,False,,False
625,75-100K,2,False,False,,False
626,50-75K,2,False,False,,False
627,50-75K,2,False,False,,False
628,100-125K,4,False,False,,False
629,<50K,4,False,False,,False
630,50-75K,1,False,False,,False
631,100-125K,2,False,False,,False
632,125K+,2,False,False,,False
633,75-100K,5,True,False,,False
634,75-100K,3,False,False,,False
635,<50K,2,False,True,6.0,False
636,50-75K,1,False,False,,False
637,75-100K,2,False,False,,False
638,50-75K,1,True,False,,False
639,50-75K,4,True,True,1.0,False
640,50-75K,3,True,False,,False
641,<50K,2,False,False,,False
642,50-75K,2,True,False,,False
643,<50K,4,False,False,,False
644,50-75K,2,False,False,,False
645,<50K,1,False,True,6.0,False
646,125K+,5,True,False,,False
647,75-100K,4,True,False,,False
648,100-125K,4,False,True,1.0,True
649,100-125K,1,True,False,,False
650,75-100K,1,True,False,,False
651,<50K,1,True,False,,False
652,75-100K,1,False,False,,False
653,75-100K,3,False,False,,False
654,100-125K,1,True,False,,False
655,50-75K,3,False,False,,False
656,<50K,1,True,False,,False
657,50-75K,2,False,False,,False
658,50-75K,5,True,False,,False
659,75-100K,1,False,False,,False
660,75-100K,2,True,False,,False
661,50-75K,2,False,False,,False
662,125K+,1,True,False,,False
663,75-100K,2,False,False,,False
664,50-75K,2,False,False,,False
665,<50K,3,False,False,,False
666,<50K,4,False,False,,False
667,50-75K,2,True,False,,False
668,<50K,1,True,False,,False
669,<50K,2,True,False,,False
670,50-75K,1,True,False,,False
671,<50K,2,False,False,,False
672,125K+,3,False,False,,False
673,<50K,1,True,False,,False
674,75-100K,4,False,False,,False
675,50-75K,4,True,False,,False
676,125K+,4,False,False,,False
677,<50K,2,False,False,,False
678,50-75K,2,False,False,,False
679,125K+,4,False,False,,False
680,125K+,2,False,False,,False
681,100-125K,4,False,False,,False
682,50-75K,1,True,False,,False
683,<50K,1,False,False,,False
684,75-100K,3,False,False,,False
685,125K+,3,False,False,,False
686,75-100K,3,False,False,,False
687,75-100K,5,False,False,,False
688,50-75K,1,False,True,5.0,True
689,100-125K,1,True,False,,False
690,<50K,4,False,False,,False
691,50-75K,1,False,False,,False
692,50-75K,3,False,False,,False
693,75-100K,2,True,False,,False
694,50-75K,1,False,False,,False
695,<50K,2,False,False,,False
696,75-100K,2,True,False,,False
697,50-75K,4,False,False,,False
698,75-100K,3,True,True,9.0,True
699,<50K,2,True,True,5.0,True
700,75-100K,2,False,False,,False
701,75-100K,2,False,False,,False
702,<50K,1,False,False,,False
703,50-75K,2,False,False,,False
704,<50K,1,True,True,3.0,True
705,<50K,1,False,False,,False
706,125K+,2,False,False,,False
707,50-75K,2,True,False,,False
708,100-125K,1,False,False,,False
709,50-75K,2,False,False,,False
710,100-125K,2,False,False,,False
711,100-125K,1,False,False,,False
712,75-100K,5,True,False,,False
713,75-100K,1,False,False,,False
714,50-75K,4,True,False,,False
715,50-75K,1,False,True,12.0,False
716,125K+,4,False,False,,False
717,125K+,1,True,False,,False
718,125K+,3,False,False,,False
719,<50K,2,False,False,,False
720,100-125K,3,False,False,,False
721,125K+,2,False,True,4.0,True
722,<50K,1,True,False,,False
723,<50K,3,False,False,,False
724,100-125K,1,False,False,,False
725,75-100K,4,False,False,,False
726,125K+,1,True,True,3.0,True
727,<50K,2,False,False,,False
728,100-125K,3,True,False,,False
729,<50K,2,True,True,4.0,False
730,<50K,1,False,True,12.0,False
731,<50K,3,True,False,,False
732,100-125K,3,True,False,,False
733,75-100K,4,False,False,,False
734,75-100K,2,False,True,12.0,False
735,50-75K,2,False,False,,False
736,125K+,2,False,True,10.0,True
737,50-75K,1,False,True,6.0,False
738,100-125K,3,False,False,,False
739,50-75K,2,True,False,,False
740,50-75K,2,False,False,,False
741,50-75K,2,True,False,,False
742,50-75K,3,False,False,,False
743,100-125K,4,False,False,,False
744,75-100K,3,True,False,,False
745,50-75K,2,False,False,,False
746,125K+,3,False,False,,False
747,50-75K,3,True,False,,False
748,75-100K,1,True,False,,False
749,125K+,1,False,False,,False
750,75-100K,1,True,False,,False
751,<50K,2,True,False,,False
752,125K+,4,False,True,3.0,False
753,75-100K,2,False,True,5.0,False
754,50-75K,2,False,False,,False
755,<50K,4,False,True,7.0,False
756,100-125K,4,False,False,,False
757,75-100K,3,False,False,,False
758,75-100K,1,False,False,,False
759,125K+,1,False,False,,False
760,100-125K,1,True,False,,False
761,<50K,1,False,False,,False
762,50-75K,2,True,False,,False
763,50-75K,2,False,False,,False
764,100-125K,1,True,True,1.0,True
765,<50K,1,False,False,,False
766,75-100K,1,False,False,,False
767,100-125K,3,False,False,,False
768,125K+,2,True,False,,False
769,50-75K,2,True,False,,False
770,125K+,1,False,False,,False
771,<50K,2,True,False,,False
772,125K+,1,False,False,,False
773,<50K,1,False,False,,False
774,50-75K,4,False,True,3.0,False
775,100-125K,5,False,False,,False
776,<50K,3,False,False,,False
777,50-75K,4,True,False,,False
778,100-125K,3,False,False,,False
779,100-125K,1,False,False,,False
780,75-100K,5,True,False,,False
781,100-125K,1,True,False,,False
782,75-100K,3,False,False,,False
783,50-75K,1,True,False,,False
784,50-75K,2,True,False,,False
785,<50K,3,False,True,11.0,False
786,125K+,2,True,False,,False
787,75-100K,1,True,False,,False
788,50-75K,2,False,False,,False
789,50-75K,2,True,False,,False
790,125K+,5,False,False,,False
791,<50K,4,True,False,,False
792,75-100K,2,False,False,,False
793,75-100K,1,False,False,,False
794,75-100K,4,True,False,,False
795,<50K,1,False,False,,False
796,125K+,1,False,False,,False
797,125K+,2,True,False,,False
798,75-100K,4,False,False,,False
799,100-125K,1,False,False,,False
800,125K+,1,False,False,,False
801,100-125K,2,False,False,,False
802,<50K,1,True,True,6.0,False
803,75-100K,2,True,True,10.0,True
804,75-100K,2,False,False,,False
805,50-75K,2,False,False,,False
806,100-125K,1,False,False,,False
807,125K+,1,False,False,,False
808,125K+,4,True,True,2.0,False
809,50-75K,4,False,False,,False
810,<50K,1,False,False,,False
811,125K+,1,False,False,,False
812,125K+,1,False,True,8.0,False
813,<50K,2,True,False,,False
814,125K+,3,True,False,,False
815,125K+,2,False,False,,False
816,75-100K,3,True,False,,False
817,75-100K,3,False,False,,False
818,50-75K,5,False,False,,False
819,<50K,1,False,False,,False
820,50-75K,1,True,False,,False
821,100-125K,1,True,False,,False
822,<50K,4,False,False,,False
823,50-75K,4,True,False,,False
824,50-75K,2,False,True,7.0,False
825,75-100K,1,False,False,,False
826,125K+,1,False,False,,False
827,50-75K,2,False,False,,False
828,50-75K,2,False,False,,False
829,100-125K,1,False,True,12.0,False
830,50-75K,1,False,True,2.0,False
831,50-75K,3,False,False,,False
832,50-75K,2,False,False,,False
833,<50K,2,False,False,,False
834,<50K,1,True,False,,False
835,75-100K,4,False,False,,False
836,50-75K,2,False,False,,False
837,125K+,4,False,True,5.0,False
838,50-75K,2,False,False,,False
839,75-100K,5,True,False,,False
840,75-100K,4,False,False,,False
841,<50K,2,False,False,,False
842,75-100K,5,True,False,,False
843,<50K,2,False,False,,False
844,125K+,2,True,False,,False
845,<50K,1,False,False,,False
846,50-75K,2,True,False,,False
847,<50K,3,False,True,4.0,False
848,125K+,3,True,False,,False
849,75-100K,1,True,False,,False
850,75-100K,2,False,False,,False
851,<50K,1,False,False,,False
852,100-125K,3,True,False,,False
853,<50K,1,False,False,,False
854,125K+,4,True,False,,False
855,<50K,1,False,False,,False
856,<50K,2,False,False,,False
857,<50K,4,False,True,2.0,False
858,75-100K,2,True,False,,False
859,75-100K,1,False,False,,False
860,<50K,2,False,False,,False
861,100-125K,1,True,False,,False
862,50-75K,5,True,False,,False
863,75-100K,2,True,False,,False
864,50-75K,1,True,False,,False
865,50-75K,2,True,False,,False
866,75-100K,1,True,False,,False
867,<50K,4,False,True,4.0,False
